z_open,z_close,final_pnl,sharpe
1.25,0.0,-134298.0,-3.7808665469978204
1.0,0.0,-192816.0,-5.95161688648155
0.75,0.0,-289228.0,-9.634902942939922
0.5,0.0,-386333.0,-13.547177262417936
1.5,0.0,-52761.0,-1.2965011702297948
1.75,0.0,-13248.0,-0.3023438258025956
2.0,0.0,22082.0,0.4369213137844941
2.25,0.0,33196.0,0.7103821718738746
2.5,0.0,50547.0,1.1158946510507617
2.75,0.0,12360.0,0.2439157857465986
3.0,0.0,18906.0,0.4972676457283392
0.5,0.25,-424774.0,-15.359283354916194
0.75,0.25,-309604.0,-11.210891084575888
1.0,0.25,-201755.0,-7.323725899843689
1.25,0.25,-131094.0,-4.777760180371655
1.5,0.25,-68413.0,-2.5112065359227516
1.75,0.25,-20055.0,-0.7356511169719601
2.25,0.25,24686.0,1.0293573831874643
2.5,0.25,40551.0,1.9440967088195702
2.0,0.25,20260.0,0.7490310118892393
2.75,0.25,23658.0,1.343419628414883
0.75,0.5,-333451.0,-12.258678705246272
0.5,0.5,-500391.0,-18.2099234024275
3.0,0.25,15564.0,0.9816901505433012
1.0,0.5,-216288.0,-8.029254381686215
1.5,0.5,-72708.0,-2.779017645741851
1.75,0.5,-23883.0,-0.9256000020089503
1.25,0.5,-141309.0,-5.29965802946505
2.0,0.5,15584.0,0.6251178608672746
2.5,0.5,35432.0,1.7362551929024783
2.25,0.5,18982.0,0.8427758196363238
2.75,0.5,20902.0,1.2111195085612867
3.0,0.5,13773.0,0.8919028191388875
1.0,0.75,-244696.0,-9.363410593444083
0.5,0.75,-444916.0,-16.596921209695598
0.75,0.75,-442103.0,-16.494742096090818
1.25,0.75,-157663.0,-6.135113891061158
1.5,0.75,-84762.0,-3.3799807067947443
2.0,0.75,7661.0,0.331426759017186
1.75,0.75,-32175.0,-1.3065613138779497
2.25,0.75,10176.0,0.4637902194997986
2.5,0.75,27099.0,1.372577032477932
0.5,1.0,-355367.0,-13.822242806916698
2.75,0.75,17151.0,1.0017344457686896
3.0,0.75,12323.0,0.8028516435202635
0.75,1.0,-355367.0,-13.822242806916698
1.25,1.0,-182647.0,-7.353284557589431
1.5,1.0,-97935.0,-4.070335186358508
1.0,1.0,-318927.0,-12.468638698773384
1.75,1.0,-40555.0,-1.7431962526303308
2.25,1.0,9845.0,0.48050400569575946
2.0,1.0,3339.0,0.15304304653658862
2.5,1.0,23694.0,1.229275660620023
2.75,1.0,14808.0,0.8719836131485115
3.0,1.0,10723.0,0.7043203161099348
0.5,1.25,-269208.0,-11.263606178362545
0.75,1.25,-269208.0,-11.263606178362545
1.0,1.25,-269208.0,-11.263606178362545
1.25,1.25,-267466.0,-11.196001916943942
1.75,1.25,-56386.0,-2.5926319156766002
1.5,1.25,-122866.0,-5.371125311513103
2.0,1.25,-9195.0,-0.453216850499909
2.25,1.25,5264.0,0.2783469811911391
2.75,1.25,10703.0,0.6804337001698174
2.5,1.25,19740.0,1.1955418987855622
3.0,1.25,8997.0,0.6246158414923051
0.75,1.5,-215028.0,-9.780493297231198
1.0,1.5,-215028.0,-9.780493297231198
0.5,1.5,-215028.0,-9.780493297231198
1.25,1.5,-215028.0,-9.780493297231198
1.5,1.5,-187458.0,-8.60346718370424
2.0,1.5,-18574.0,-1.0329281133835129
1.75,1.5,-74406.0,-3.6886374709002596
2.25,1.5,-228.0,-0.013874929145880496
2.75,1.5,8475.0,0.639497857950758
3.0,1.5,7007.0,0.6221197493924966
2.5,1.5,13144.0,0.911849407576912
0.5,1.75,-141458.0,-7.611328450604047
0.75,1.75,-141458.0,-7.611328450604047
1.0,1.75,-141458.0,-7.611328450604047
1.25,1.75,-141458.0,-7.611328450604047
1.5,1.75,-141458.0,-7.611328450604047
2.0,1.75,-39528.0,-2.3832600175480216
1.75,1.75,-140345.0,-7.553759164586367
2.25,1.75,-10967.0,-0.730534095913685
2.5,1.75,7994.0,0.5949092041200286
3.0,1.75,10291.0,1.1813129092148442
0.5,2.0,-84681.0,-5.477880281430865
2.75,1.75,8466.0,0.6955039233196999
0.75,2.0,-84681.0,-5.477880281430865
1.25,2.0,-84681.0,-5.477880281430865
1.0,2.0,-84681.0,-5.477880281430865
1.5,2.0,-84681.0,-5.477880281430865
1.75,2.0,-84681.0,-5.477880281430865
2.0,2.0,-69563.0,-4.550991796289201
2.5,2.0,1729.0,0.14084675634650806
2.25,2.0,-22248.0,-1.6081275591148176
2.75,2.0,8101.0,0.759108665642022
3.0,2.0,9776.0,1.191608807028469
