round,days,K,K_QUOTE,final_pnl
2,"-1,0,1",8.5,11.0,58672.0
2,"-1,0,1",8.75,11.0,58651.0
2,"-1,0,1",9.0,11.0,58640.0
2,"-1,0,1",9.25,11.0,58811.0
2,"-1,0,1",9.5,11.0,58812.0
2,"-1,0,1",6.5,11.25,58655.0
2,"-1,0,1",6.75,11.25,58808.0
2,"-1,0,1",7.25,11.25,58767.0
2,"-1,0,1",7.0,11.25,58929.0
2,"-1,0,1",7.5,11.25,58784.0
2,"-1,0,1",7.75,11.25,58762.0
2,"-1,0,1",8.0,11.25,58722.0
2,"-1,0,1",8.5,11.25,58672.0
2,"-1,0,1",8.25,11.25,58711.0
2,"-1,0,1",8.75,11.25,58651.0
2,"-1,0,1",9.0,11.25,58640.0
2,"-1,0,1",9.25,11.25,58811.0
2,"-1,0,1",9.5,11.25,58812.0
2,"-1,0,1",6.5,11.5,58655.0
2,"-1,0,1",6.75,11.5,58808.0
2,"-1,0,1",7.0,11.5,58929.0
2,"-1,0,1",7.25,11.5,58767.0
2,"-1,0,1",7.5,11.5,58784.0
2,"-1,0,1",7.75,11.5,58762.0
2,"-1,0,1",8.0,11.5,58722.0
2,"-1,0,1",8.25,11.5,58711.0
2,"-1,0,1",8.5,11.5,58672.0
2,"-1,0,1",8.75,11.5,58651.0
2,"-1,0,1",9.0,11.5,58640.0
2,"-1,0,1",9.25,11.5,58811.0
2,"-1,0,1",9.5,11.5,58812.0
