product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5200,1500,0.5,3.0,51768.0,1.698675007567415
VEV_5200,500,0.5,3.0,35247.0,1.2142950515812512
VEV_5200,4000,0.5,3.0,63070.0,2.011082043694679
VEV_5200,10000,0.5,3.0,65879.0,2.0732346042936234
VEV_5200,1500,0.75,4.5,56818.0,1.9164108970557212
VEV_5200,4000,0.75,4.5,63593.0,2.054829868891852
VEV_5200,25000,0.5,3.0,59492.0,1.8464307568488538
VEV_5200,500,0.75,4.5,42583.0,1.5247911150484317
VEV_5200,10000,0.75,4.5,67275.0,2.142445540715248
VEV_5200,500,1.0,6.0,47614.0,1.8037195340206913
VEV_5200,25000,0.75,4.5,59210.0,1.854179132593049
VEV_5200,1500,1.0,6.0,63939.0,2.241280104052066
VEV_5200,4000,1.0,6.0,67383.0,2.2313228300515173
VEV_5200,500,1.5,9.0,47902.0,2.126714265349815
VEV_5200,10000,1.0,6.0,66943.0,2.177656645010957
VEV_5200,25000,1.0,6.0,63756.0,2.034621229188441
VEV_5200,10000,1.5,9.0,68639.0,2.31911622911768
VEV_5200,25000,1.5,9.0,63333.0,2.094781146414669
VEV_5200,4000,1.5,9.0,69076.0,2.4401072588374966
VEV_5200,1500,1.5,9.0,65322.0,2.4745623262396155
VEV_5200,4000,2.0,12.0,68871.0,2.599086920073574
VEV_5200,10000,2.0,12.0,65131.0,2.280850321602043
VEV_5200,500,2.0,12.0,40097.0,2.0578799065760474
VEV_5200,1500,2.0,12.0,56484.0,2.395957173137067
VEV_5200,25000,2.0,12.0,65236.0,2.2252761424333025
