product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_4000,1500,0.5,7.5,-8890.0,-0.16348616699682134
VEV_4000,500,0.5,7.5,-8890.0,-0.16348616699682134
VEV_4000,10000,0.5,7.5,-8890.0,-0.16348616699682134
VEV_4000,4000,0.5,7.5,-8890.0,-0.16348616699682134
VEV_4000,500,0.75,11.25,18225.0,0.534518746390157
VEV_4000,4000,0.75,11.25,18225.0,0.534518746390157
VEV_4000,25000,0.5,7.5,-8890.0,-0.16348616699682134
VEV_4000,1500,0.75,11.25,18225.0,0.534518746390157
VEV_4000,25000,0.75,11.25,18225.0,0.534518746390157
VEV_4000,10000,0.75,11.25,18225.0,0.534518746390157
VEV_4000,500,1.0,15.0,14733.0,0.59324633098903
VEV_4000,1500,1.0,15.0,14733.0,0.59324633098903
VEV_4000,25000,1.0,15.0,14733.0,0.59324633098903
VEV_4000,500,1.5,22.5,1181.0,0.8839483580401648
VEV_4000,4000,1.0,15.0,14733.0,0.59324633098903
VEV_4000,10000,1.0,15.0,14733.0,0.59324633098903
VEV_4000,1500,1.5,22.5,1181.0,0.8839483580401648
VEV_4000,10000,1.5,22.5,1181.0,0.8839483580401648
VEV_4000,25000,1.5,22.5,1181.0,0.8839483580401648
VEV_4000,4000,1.5,22.5,1181.0,0.8839483580401648
VEV_4000,4000,2.0,30.0,0.0,0.0
VEV_4000,10000,2.0,30.0,0.0,0.0
VEV_4000,1500,2.0,30.0,0.0,0.0
VEV_4000,500,2.0,30.0,0.0,0.0
VEV_4000,25000,2.0,30.0,0.0,0.0
