product,threshold,final_pnl,sharpe
VEV_5100,4,74490.0,1.7740970236914357
VEV_5100,2,68621.0,1.6176708222771967
VEV_5100,6,79294.0,1.938390371762241
VEV_5100,1,67144.0,1.5779927035461219
VEV_5100,10,81445.5,2.1082041813925914
VEV_5100,12,90232.0,2.370799167322107
VEV_5100,8,78121.0,1.9697304925759629
VEV_5100,15,98228.0,2.687153523272464
VEV_5100,18,85004.0,2.5365143797209004
VEV_5100,40,12005.0,1.2747869503855704
VEV_5100,30,62776.0,3.4664580500324766
VEV_5100,22,74287.0,2.625263334137439
