product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_4500,500,0.5,0.5,9632.0,0.3869349535571802
VEV_4500,1500,0.5,0.5,13023.0,0.6873677679959073
VEV_4500,10000,0.5,0.5,14606.0,0.8480910746414866
VEV_4500,4000,0.5,0.5,14472.0,0.820505791415433
VEV_4500,25000,0.5,0.5,14106.0,0.7693736269503572
VEV_4500,500,0.75,0.75,9632.0,0.3869349535571802
VEV_4500,1500,0.75,0.75,13236.0,0.7408322228107903
VEV_4500,4000,0.75,0.75,14496.0,0.827269111718717
VEV_4500,10000,0.75,0.75,14576.0,0.8471004163176858
VEV_4500,25000,0.75,0.75,14106.0,0.7693736269503572
VEV_4500,1500,1.0,1.0,13334.0,0.7678430458675791
VEV_4500,500,1.0,1.0,9772.0,0.4178240607679591
VEV_4500,4000,1.0,1.0,14518.0,0.852777823743195
VEV_4500,500,1.5,1.5,9990.0,0.4683791558054786
VEV_4500,25000,1.0,1.0,14350.0,0.7994006150451035
VEV_4500,10000,1.0,1.0,14511.0,0.8343127461974391
VEV_4500,1500,1.5,1.5,13439.0,0.8286199454937471
VEV_4500,4000,1.5,1.5,14518.0,0.852777823743195
VEV_4500,25000,1.5,1.5,14488.0,0.8279536748009348
VEV_4500,10000,1.5,1.5,14412.0,0.8109783858658145
VEV_4500,500,2.0,2.0,10175.0,0.5267385361854504
VEV_4500,10000,2.0,2.0,14451.0,0.8133379920138807
VEV_4500,1500,2.0,2.0,13445.0,0.8437219189064963
VEV_4500,4000,2.0,2.0,14317.0,0.8401522744748459
VEV_4500,25000,2.0,2.0,14520.0,0.8464613775907832
