product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5300,4000,0.5,4.0,41844.0,2.2887975241471006
VEV_5300,10000,0.5,4.0,41844.0,2.2887975241471006
VEV_5300,1500,0.5,4.0,41844.0,2.2887975241471006
VEV_5300,500,0.5,4.0,41844.0,2.2887975241471006
VEV_5300,25000,0.5,4.0,41844.0,2.2887975241471006
VEV_5300,500,0.75,6.0,37721.0,2.399789952041543
VEV_5300,1500,0.75,6.0,37721.0,2.399789952041543
VEV_5300,4000,0.75,6.0,37721.0,2.399789952041543
VEV_5300,10000,0.75,6.0,37721.0,2.399789952041543
VEV_5300,500,1.0,8.0,28188.0,2.134743993704299
VEV_5300,1500,1.0,8.0,28188.0,2.134743993704299
VEV_5300,25000,0.75,6.0,37721.0,2.399789952041543
VEV_5300,4000,1.0,8.0,28188.0,2.134743993704299
VEV_5300,500,1.5,12.0,21082.0,2.377323495968618
VEV_5300,10000,1.0,8.0,28188.0,2.134743993704299
VEV_5300,25000,1.0,8.0,28188.0,2.134743993704299
VEV_5300,1500,1.5,12.0,21082.0,2.377323495968618
VEV_5300,4000,1.5,12.0,21082.0,2.377323495968618
VEV_5300,25000,1.5,12.0,21082.0,2.377323495968618
VEV_5300,10000,1.5,12.0,21082.0,2.377323495968618
VEV_5300,500,2.0,16.0,8415.0,2.180467799950052
VEV_5300,1500,2.0,16.0,8415.0,2.180467799950052
VEV_5300,4000,2.0,16.0,8415.0,2.180467799950052
VEV_5300,10000,2.0,16.0,8415.0,2.180467799950052
VEV_5300,25000,2.0,16.0,8415.0,2.180467799950052
