min_position,ask_size,final_pnl,max_drawdown,peak_pnl,trough_pnl,day_0_pnl,day_1_pnl,day_2_pnl
71,10,243383.0,497.0,243880.0,-484.0,80985.5,80688.5,81709.0
72,10,244588.0,504.0,245092.0,-492.0,81235.5,81253.5,82099.0
73,10,245763.0,511.0,246274.0,-500.0,81694.5,81721.5,82347.0
74,10,246831.0,518.0,247349.0,-508.0,82091.0,81936.0,82804.0
75,10,246960.0,525.0,247485.0,-478.5,82182.0,81834.0,82944.0
76,10,246827.0,532.0,247359.0,-519.0,82195.0,81821.0,82811.0
77,10,245817.0,539.0,246356.0,-527.0,81953.0,81571.0,82293.0
78,10,243721.0,546.0,244267.0,-535.0,81185.0,80954.0,81582.0
79,10,241625.0,553.0,242178.0,-543.0,80417.0,80337.0,80871.0
58,11,222480.0,462.0,222942.0,-420.0,74303.5,74129.5,74047.0
59,11,224419.0,462.0,224881.0,-420.0,74982.0,74734.0,74703.0
60,11,226311.0,462.0,226773.0,-420.0,75683.5,75269.5,75358.0
61,11,228194.0,462.0,228656.0,-420.0,76248.0,75843.0,76103.0
62,11,230068.0,462.0,230530.0,-421.0,76846.5,76474.5,76747.0
63,11,231705.0,462.0,232167.0,-429.0,77358.0,76989.0,77358.0
64,11,233281.0,462.0,233743.0,-437.0,77797.0,77543.0,77941.0
65,11,234812.0,462.0,235274.0,-445.0,78303.0,77990.0,78519.0
66,11,236386.0,462.0,236848.0,-420.0,78849.5,78467.5,79069.0
67,11,237952.0,469.0,238421.0,-478.5,79288.5,79066.5,79597.0
68,11,239303.0,476.0,239779.0,-478.5,79648.5,79472.5,80182.0
69,11,240756.0,483.0,241239.0,-478.5,80209.5,79873.5,80673.0
70,11,242056.0,490.0,242546.0,-478.5,80608.5,80257.5,81190.0
71,11,243383.0,497.0,243880.0,-484.0,80985.5,80688.5,81709.0
72,11,244588.0,504.0,245092.0,-492.0,81235.5,81253.5,82099.0
73,11,245763.0,511.0,246274.0,-500.0,81694.5,81721.5,82347.0
74,11,246831.0,518.0,247349.0,-508.0,82091.0,81936.0,82804.0
75,11,246960.0,525.0,247485.0,-478.5,82182.0,81834.0,82944.0
76,11,246827.0,532.0,247359.0,-519.0,82195.0,81821.0,82811.0
77,11,245817.0,539.0,246356.0,-527.0,81953.0,81571.0,82293.0
78,11,243721.0,546.0,244267.0,-535.0,81185.0,80954.0,81582.0
79,11,241625.0,553.0,242178.0,-543.0,80417.0,80337.0,80871.0
58,12,222480.0,462.0,222942.0,-420.0,74303.5,74129.5,74047.0
59,12,224419.0,462.0,224881.0,-420.0,74982.0,74734.0,74703.0
60,12,226311.0,462.0,226773.0,-420.0,75683.5,75269.5,75358.0
