product,entry,active,final_pnl,sharpe
VEV_4500,0.25,1.0,14523.0,0.8265508801684854
VEV_4500,0.5,2.0,14472.0,0.820505791415433
VEV_4500,1,4.0,14518.0,0.852777823743195
VEV_4500,0.75,3.0,14496.0,0.827269111718717
VEV_4500,2,8.0,14317.0,0.8401522744748459
VEV_4500,5,20.0,14418.0,0.8857920037731807
VEV_4500,3,12.0,14557.0,0.896536899837647
VEV_4500,1.5,6.0,14518.0,0.852777823743195
VEV_4500,18,72.0,10221.0,1.275116852379282
VEV_4500,12,48.0,13405.0,0.9558154525570144
VEV_4500,8,32.0,14150.0,0.9206160255167657
