
[  42/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 77.000 PnL=   62727.0 ETA= 4810.2s
[  43/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 76.000 PnL=   62374.0 ETA= 4688.9s
[  44/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 80.000 PnL=   62688.0 ETA= 4573.1s
[  45/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 77.000 PnL=   61844.0 ETA= 4462.5s
[  46/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 78.000 PnL=   62581.0 ETA= 4356.6s
[  47/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 76.000 PnL=   62727.0 ETA= 4255.3s
[  48/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 75.000 PnL=   62222.0 ETA= 4158.1s
[  49/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 79.000 PnL=   62688.0 ETA= 4065.0s
[  50/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 76.000 PnL=   62011.0 ETA= 3975.6s
[  51/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 77.000 PnL=   62589.0 ETA= 3889.6s
[  52/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 75.000 PnL=   62563.0 ETA= 3807.0s
[  53/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 74.000 PnL=   62110.0 ETA= 3727.5s
[  54/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 78.000 PnL=   62662.0 ETA= 3651.0s
[  55/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 75.000 PnL=   61859.0 ETA= 3577.2s
[  56/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 76.000 PnL=   62720.0 ETA= 3506.1s
[  57/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 74.000 PnL=   62482.0 ETA= 3437.4s
[  58/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 80.000 PnL=   62112.0 ETA= 3371.1s
[  59/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 77.000 PnL=   62565.0 ETA= 3307.1s
[  60/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 39.000 DELTA_Q_ULTRA= 74.000 PnL=   61762.0 ETA= 3245.2s
[  61/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 75.000 PnL=   62396.0 ETA= 3185.4s
[  62/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 80.000 PnL=   62688.0 ETA= 3127.4s
[  63/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 80.000 PnL=   62633.0 ETA= 3071.3s
[  64/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 79.000 PnL=   61954.0 ETA= 3017.0s
[  65/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 76.000 PnL=   62518.0 ETA= 2964.3s
[  66/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 80.000 PnL=   62582.0 ETA= 2913.2s
[  67/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 74.000 PnL=   62282.0 ETA= 2863.7s
[  68/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 79.000 PnL=   62688.0 ETA= 2815.6s
[  69/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 78.000 PnL=   61954.0 ETA= 2768.9s
[  70/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 75.000 PnL=   62372.0 ETA= 2723.5s
[  71/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 79.000 PnL=   62552.0 ETA= 2679.5s
[  72/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 80.000 PnL=   62776.0 ETA= 2636.6s
[  73/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 78.000 PnL=   62662.0 ETA= 2594.9s
[  74/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 77.000 PnL=   61844.0 ETA= 2554.4s
[  75/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 74.000 PnL=   62299.0 ETA= 2514.9s
[  76/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 78.000 PnL=   62496.0 ETA= 2476.4s
[  77/539] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 79.000 PnL=   62475.0 ETA= 2439.0s
[  78/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 79.000 PnL=   62734.0 ETA= 2402.5s
[  79/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 77.000 PnL=   62565.0 ETA= 2367.0s
[  80/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 76.000 PnL=   62011.0 ETA= 2332.3s
[  81/539] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 80.000 PnL=   62960.0 ETA= 2298.5s
[  82/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 77.000 PnL=   62562.0 ETA= 2265.5s
[  83/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 78.000 PnL=   62746.0 ETA= 2233.3s
[  84/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 76.000 PnL=   62518.0 ETA= 2201.9s
[  85/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 75.000 PnL=   61859.0 ETA= 2171.2s
[  86/539] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 79.000 PnL=   62925.0 ETA= 2141.2s
[  87/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 76.000 PnL=   62562.0 ETA= 2111.9s
[  88/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 77.000 PnL=   62754.0 ETA= 2083.3s
[  89/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 75.000 PnL=   62372.0 ETA= 2055.3s
[  90/539] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 35.000 DELTA_Q_ULTRA= 74.000 PnL=   61762.0 ETA= 2028.0s
[  91/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 75.000 PnL=   62514.0 ETA= 2001.2s
[  92/539] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 32.000 DELTA_Q_ULTRA= 77.000 PnL=   62803.0 ETA= 1975.1s
[  93/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 76.000 PnL=   62763.0 ETA= 1949.5s
[  94/539] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 74.000 PnL=   62299.0 ETA= 1924.4s
[  95/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 34.000 DELTA_Q_ULTRA= 80.000 PnL=   62582.0 ETA= 1899.9s
[  96/539] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 38.000 DELTA_Q_ULTRA= 74.000 PnL=   62400.0 ETA= 1875.8s
[  97/539] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 75.000 PnL=   62445.0 ETA= 1852.3s
[  98/539] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 37.000 DELTA_Q_ULTRA= 80.000 PnL=   62985.0 ETA= 1829.2s
