round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",24.0,32.0,79.0,62552.0
2,"-1,0,1",21.0,39.0,74.0,62463.0
2,"-1,0,1",23.0,40.0,74.0,62464.0
2,"-1,0,1",21.0,35.0,79.0,62985.0
2,"-1,0,1",24.0,32.0,78.0,62496.0
2,"-1,0,1",20.0,39.0,80.0,62824.0
2,"-1,0,1",22.0,40.0,80.0,62728.0
2,"-1,0,1",21.0,35.0,78.0,62960.0
2,"-1,0,1",24.0,32.0,77.0,62562.0
2,"-1,0,1",20.0,39.0,79.0,62824.0
2,"-1,0,1",22.0,40.0,79.0,62728.0
2,"-1,0,1",21.0,35.0,77.0,62803.0
2,"-1,0,1",24.0,32.0,76.0,62562.0
2,"-1,0,1",20.0,39.0,78.0,62799.0
2,"-1,0,1",22.0,40.0,78.0,62736.0
2,"-1,0,1",21.0,35.0,76.0,62768.0
2,"-1,0,1",24.0,32.0,75.0,62514.0
2,"-1,0,1",20.0,39.0,77.0,62701.0
2,"-1,0,1",24.0,32.0,74.0,62400.0
2,"-1,0,1",22.0,40.0,77.0,62579.0
2,"-1,0,1",21.0,35.0,75.0,62586.0
2,"-1,0,1",20.0,39.0,76.0,62705.0
2,"-1,0,1",21.0,35.0,74.0,62463.0
2,"-1,0,1",22.0,40.0,76.0,62500.0
2,"-1,0,1",23.0,32.0,80.0,62747.0
2,"-1,0,1",19.0,32.0,74.0,62152.0
2,"-1,0,1",20.0,39.0,75.0,62563.0
