round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",12.0,60.0,68.0,61415.0
2,"-1,0,1",14.0,56.0,76.0,61621.0
2,"-1,0,1",18.0,64.0,74.0,61845.0
2,"-1,0,1",22.0,60.0,70.0,61725.0
2,"-1,0,1",18.0,52.0,72.0,61795.0
2,"-1,0,1",14.0,68.0,76.0,61655.0
2,"-1,0,1",10.0,60.0,78.0,61556.0
2,"-1,0,1",14.0,56.0,74.0,61464.0
2,"-1,0,1",10.0,52.0,76.0,61686.0
2,"-1,0,1",18.0,64.0,72.0,61747.0
2,"-1,0,1",22.0,60.0,68.0,61587.0
2,"-1,0,1",14.0,68.0,74.0,61379.0
2,"-1,0,1",10.0,60.0,76.0,61704.0
2,"-1,0,1",14.0,56.0,72.0,61450.0
2,"-1,0,1",18.0,52.0,68.0,61606.0
2,"-1,0,1",14.0,52.0,70.0,61326.0
2,"-1,0,1",10.0,52.0,78.0,61503.0
2,"-1,0,1",18.0,64.0,70.0,61687.0
2,"-1,0,1",20.0,60.0,78.0,62618.0
2,"-1,0,1",14.0,68.0,72.0,61459.0
2,"-1,0,1",10.0,60.0,74.0,61358.0
2,"-1,0,1",14.0,56.0,70.0,61361.0
2,"-1,0,1",18.0,64.0,68.0,61556.0
2,"-1,0,1",20.0,60.0,76.0,62676.0
2,"-1,0,1",16.0,52.0,78.0,61614.0
2,"-1,0,1",14.0,68.0,70.0,61360.0
2,"-1,0,1",10.0,60.0,72.0,61391.0
2,"-1,0,1",14.0,56.0,68.0,61309.0
2,"-1,0,1",16.0,64.0,78.0,61522.0
2,"-1,0,1",20.0,60.0,74.0,62280.0
2,"-1,0,1",14.0,68.0,68.0,61290.0
2,"-1,0,1",10.0,60.0,70.0,61418.0
2,"-1,0,1",12.0,56.0,78.0,61908.0
2,"-1,0,1",16.0,52.0,76.0,61605.0
2,"-1,0,1",16.0,64.0,76.0,61643.0
2,"-1,0,1",20.0,60.0,72.0,62287.0
2,"-1,0,1",10.0,52.0,74.0,61507.0
2,"-1,0,1",12.0,68.0,78.0,61864.0
2,"-1,0,1",10.0,60.0,68.0,61278.0
2,"-1,0,1",12.0,56.0,76.0,62066.0
2,"-1,0,1",16.0,64.0,74.0,61482.0
2,"-1,0,1",20.0,60.0,70.0,61872.0
2,"-1,0,1",12.0,68.0,76.0,61998.0
2,"-1,0,1",22.0,56.0,78.0,62465.0
2,"-1,0,1",16.0,52.0,74.0,61508.0
2,"-1,0,1",12.0,56.0,74.0,61898.0
2,"-1,0,1",16.0,64.0,72.0,61344.0
2,"-1,0,1",20.0,60.0,68.0,61718.0
2,"-1,0,1",22.0,68.0,78.0,62417.0
2,"-1,0,1",12.0,68.0,74.0,61802.0
2,"-1,0,1",22.0,56.0,76.0,62523.0
2,"-1,0,1",12.0,56.0,72.0,61604.0
2,"-1,0,1",18.0,52.0,70.0,61775.0
2,"-1,0,1",14.0,52.0,76.0,61621.0
2,"-1,0,1",14.0,52.0,68.0,61278.0
2,"-1,0,1",16.0,64.0,70.0,61263.0
2,"-1,0,1",18.0,60.0,78.0,61887.0
2,"-1,0,1",10.0,52.0,72.0,61466.0
2,"-1,0,1",22.0,68.0,76.0,62312.0
2,"-1,0,1",12.0,68.0,72.0,61583.0
2,"-1,0,1",22.0,56.0,74.0,62119.0
2,"-1,0,1",12.0,56.0,70.0,61643.0
2,"-1,0,1",16.0,64.0,68.0,61105.0
2,"-1,0,1",18.0,60.0,76.0,62067.0
2,"-1,0,1",14.0,52.0,74.0,61464.0
2,"-1,0,1",22.0,68.0,74.0,61974.0
2,"-1,0,1",12.0,68.0,70.0,61673.0
2,"-1,0,1",22.0,56.0,72.0,62294.0
2,"-1,0,1",12.0,56.0,68.0,61437.0
2,"-1,0,1",14.0,64.0,78.0,61510.0
2,"-1,0,1",18.0,60.0,74.0,61845.0
2,"-1,0,1",22.0,68.0,72.0,62256.0
2,"-1,0,1",12.0,68.0,68.0,61417.0
2,"-1,0,1",22.0,56.0,70.0,61725.0
2,"-1,0,1",10.0,56.0,78.0,61558.0
2,"-1,0,1",14.0,64.0,76.0,61617.0
2,"-1,0,1",18.0,60.0,72.0,61747.0
2,"-1,0,1",22.0,68.0,70.0,61723.0
2,"-1,0,1",10.0,68.0,78.0,61556.0
2,"-1,0,1",22.0,56.0,68.0,61587.0
2,"-1,0,1",10.0,56.0,76.0,61741.0
2,"-1,0,1",14.0,64.0,74.0,61423.0
2,"-1,0,1",18.0,60.0,70.0,61687.0
2,"-1,0,1",22.0,68.0,68.0,61575.0
2,"-1,0,1",10.0,68.0,76.0,61704.0
2,"-1,0,1",20.0,56.0,78.0,62550.0
2,"-1,0,1",10.0,56.0,74.0,61507.0
2,"-1,0,1",14.0,64.0,72.0,61455.0
2,"-1,0,1",18.0,60.0,68.0,61556.0
2,"-1,0,1",20.0,68.0,78.0,62516.0
2,"-1,0,1",20.0,56.0,76.0,62676.0
2,"-1,0,1",10.0,56.0,72.0,61386.0
2,"-1,0,1",10.0,52.0,70.0,61428.0
2,"-1,0,1",10.0,68.0,74.0,61291.0
2,"-1,0,1",14.0,64.0,70.0,61362.0
2,"-1,0,1",16.0,60.0,78.0,61581.0
2,"-1,0,1",10.0,56.0,70.0,61412.0
2,"-1,0,1",10.0,68.0,72.0,61361.0
2,"-1,0,1",20.0,68.0,76.0,62459.0
2,"-1,0,1",20.0,56.0,74.0,62296.0
2,"-1,0,1",14.0,64.0,68.0,61290.0
2,"-1,0,1",16.0,60.0,76.0,61684.0
2,"-1,0,1",20.0,68.0,74.0,62176.0
2,"-1,0,1",10.0,68.0,70.0,61378.0
2,"-1,0,1",20.0,56.0,72.0,62287.0
2,"-1,0,1",10.0,56.0,68.0,61264.0
2,"-1,0,1",12.0,52.0,70.0,61659.0
2,"-1,0,1",16.0,60.0,74.0,61484.0
2,"-1,0,1",12.0,64.0,78.0,61864.0
