product,entry,active,final_pnl,sharpe
VEV_4000,14,26.444444444444443,25874.0,0.716148402455062
VEV_4000,3,5.666666666666667,-77546.0,-1.1429811199477953
VEV_4000,6,11.333333333333334,-16045.0,-0.25267042354130387
VEV_4000,10,18.88888888888889,20812.0,0.39705197601014036
VEV_4000,22,41.55555555555556,23683.0,1.3237325085903278
VEV_4000,25,47.22222222222222,13337.0,1.5024889043284184
VEV_4000,30,56.666666666666664,8831.0,2.788570358692758
VEV_4000,18,34.0,33105.0,1.2800752833360727
VEV_4000,40,75.55555555555556,6938.0,4.36419085190122
VEV_4000,60,113.33333333333333,5684.0,5.164783966920393
