product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_4000,4000,0.5,9.0,13447.0,0.23836065152176175
VEV_4000,10000,0.5,9.0,20706.0,0.3785667386350279
VEV_4000,500,0.5,9.0,-36193.0,-0.8529882440311937
VEV_4000,1500,0.5,9.0,-6707.0,-0.1311982756157184
VEV_4000,500,0.75,13.5,678.0,0.028778321187448982
VEV_4000,1500,0.75,13.5,15805.0,0.4230026286619494
VEV_4000,25000,0.5,9.0,21429.0,0.3885525288005378
VEV_4000,4000,0.75,13.5,25381.0,0.6861106199546945
VEV_4000,500,1.0,18.0,7305.0,1.293248153716281
VEV_4000,1500,1.0,18.0,22641.0,0.8993777688356753
VEV_4000,25000,0.75,13.5,27963.0,0.8197697958593751
VEV_4000,10000,0.75,13.5,26841.0,0.7385431779944193
VEV_4000,500,1.5,27.0,4245.0,3.901629242815109
VEV_4000,4000,1.0,18.0,33105.0,1.2800752833360727
VEV_4000,25000,1.0,18.0,36565.0,1.34419222440026
VEV_4000,10000,1.0,18.0,36668.0,1.3465184389464082
VEV_4000,25000,1.5,27.0,19234.0,1.2078863900602452
VEV_4000,10000,1.5,27.0,18427.0,1.2669038450390797
VEV_4000,4000,1.5,27.0,9658.0,2.50304377906195
VEV_4000,1500,1.5,27.0,7692.0,3.7106442941874525
VEV_4000,1500,2.0,36.0,5473.0,4.647258263380093
VEV_4000,4000,2.0,36.0,7528.0,4.032364100641088
VEV_4000,500,2.0,36.0,4039.0,4.439813404247335
VEV_4000,10000,2.0,36.0,8225.0,3.0488259036815792
VEV_4000,25000,2.0,36.0,8879.0,2.708242337337769
