product,k_entry,k_active,entry_scale,active_scale,final_pnl,sharpe
HYDROGEL_PACK,1.2000000000000002,1.3650000000000002,0.7500000000000001,0.65,92843.0,1.8574937544930068
HYDROGEL_PACK,1.4400000000000002,1.5750000000000002,0.9,0.75,92843.0,1.8574937544930068
HYDROGEL_PACK,1.2000000000000002,1.8900000000000001,0.7500000000000001,0.9,88835.0,2.0810821565573905
HYDROGEL_PACK,1.2000000000000002,1.5750000000000002,0.7500000000000001,0.75,92843.0,1.8574937544930068
HYDROGEL_PACK,1.7600000000000002,1.8900000000000001,1.1,0.9,89227.0,2.090400017246614
HYDROGEL_PACK,1.6,1.8900000000000001,1.0,0.9,89122.0,2.087886487789857
HYDROGEL_PACK,1.4400000000000002,1.8900000000000001,0.9,0.9,88910.0,2.082788165924808
HYDROGEL_PACK,1.2000000000000002,2.1,0.7500000000000001,1.0,91568.0,2.2522174581817014
HYDROGEL_PACK,2.0,2.1,1.25,1.0,91992.0,2.2635507966302657
HYDROGEL_PACK,1.4400000000000002,2.1,0.9,1.0,91913.0,2.2613487087032915
HYDROGEL_PACK,1.7600000000000002,2.1,1.1,1.0,91992.0,2.2635507966302657
HYDROGEL_PACK,1.6,2.1,1.0,1.0,91992.0,2.2635507966302657
HYDROGEL_PACK,1.7600000000000002,2.3100000000000005,1.1,1.1,69461.0,2.1469457765884137
HYDROGEL_PACK,1.4400000000000002,2.3100000000000005,0.9,1.1,69461.0,2.1469457765884137
HYDROGEL_PACK,1.6,2.3100000000000005,1.0,1.1,69461.0,2.1469457765884137
HYDROGEL_PACK,1.2000000000000002,2.3100000000000005,0.7500000000000001,1.1,69461.0,2.1469457765884137
HYDROGEL_PACK,2.0,2.3100000000000005,1.25,1.1,69737.0,2.156323776858082
