product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5400,10000,0.5,2.0,14438.0,1.1848757861371026
VEV_5400,4000,0.5,2.0,14438.0,1.1848757861371026
VEV_5400,1500,0.5,2.0,14438.0,1.1848757861371026
VEV_5400,500,0.5,2.0,14438.0,1.1848757861371026
VEV_5400,4000,0.75,3.0,14447.0,1.265896697775893
VEV_5400,1500,0.75,3.0,14447.0,1.265896697775893
VEV_5400,500,0.75,3.0,14447.0,1.265896697775893
VEV_5400,25000,0.5,2.0,14438.0,1.1848757861371026
VEV_5400,500,1.0,4.0,13252.0,1.2297511439610016
VEV_5400,25000,0.75,3.0,14447.0,1.265896697775893
VEV_5400,1500,1.0,4.0,13252.0,1.2297511439610016
VEV_5400,10000,0.75,3.0,14447.0,1.265896697775893
VEV_5400,4000,1.0,4.0,13252.0,1.2297511439610016
VEV_5400,25000,1.0,4.0,13252.0,1.2297511439610016
VEV_5400,500,1.5,6.0,10592.0,1.1496382956102191
VEV_5400,10000,1.0,4.0,13252.0,1.2297511439610016
VEV_5400,1500,1.5,6.0,10592.0,1.1496382956102191
VEV_5400,4000,1.5,6.0,10592.0,1.1496382956102191
VEV_5400,10000,1.5,6.0,10592.0,1.1496382956102191
VEV_5400,25000,1.5,6.0,10592.0,1.1496382956102191
VEV_5400,1500,2.0,8.0,4998.0,0.7476838173735411
VEV_5400,10000,2.0,8.0,4998.0,0.7476838173735411
VEV_5400,500,2.0,8.0,4998.0,0.7476838173735411
VEV_5400,4000,2.0,8.0,4998.0,0.7476838173735411
VEV_5400,25000,2.0,8.0,4998.0,0.7476838173735411
