round,days,K,K_take,K_quote,final_pnl
2,"-1,0,1",9.0,3.5,6.5,58599.0
2,"-1,0,1",9.0,4.0,6.5,58599.0
2,"-1,0,1",9.0,4.5,6.5,58530.0
2,"-1,0,1",9.0,5.0,6.5,58530.0
2,"-1,0,1",9.0,5.5,6.5,58363.0
2,"-1,0,1",9.0,6.0,6.5,58363.0
2,"-1,0,1",9.5,2.0,6.5,58665.0
2,"-1,0,1",9.5,2.5,6.5,58665.0
2,"-1,0,1",9.5,3.0,6.5,58665.0
2,"-1,0,1",9.5,3.5,6.5,58535.0
2,"-1,0,1",9.5,4.0,6.5,58535.0
2,"-1,0,1",9.5,4.5,6.5,58476.0
2,"-1,0,1",9.5,5.0,6.5,58476.0
2,"-1,0,1",9.5,5.5,6.5,58307.0
2,"-1,0,1",10.0,2.0,6.5,58576.0
2,"-1,0,1",9.5,6.0,6.5,58307.0
2,"-1,0,1",10.0,2.5,6.5,58576.0
2,"-1,0,1",10.0,3.0,6.5,58576.0
2,"-1,0,1",10.0,3.5,6.5,58489.0
2,"-1,0,1",10.0,4.0,6.5,58489.0
2,"-1,0,1",10.0,5.0,6.5,58441.0
2,"-1,0,1",10.0,4.5,6.5,58441.0
2,"-1,0,1",10.0,5.5,6.5,58283.0
2,"-1,0,1",10.0,6.0,6.5,58283.0
2,"-1,0,1",7.0,2.0,7.0,58844.0
2,"-1,0,1",7.0,2.5,7.0,58844.0
2,"-1,0,1",7.0,3.0,7.0,58844.0
2,"-1,0,1",7.0,3.5,7.0,58563.0
2,"-1,0,1",7.0,4.0,7.0,58563.0
2,"-1,0,1",7.0,4.5,7.0,58558.0
2,"-1,0,1",7.0,5.0,7.0,58558.0
2,"-1,0,1",7.0,6.0,7.0,58349.0
2,"-1,0,1",7.0,5.5,7.0,58349.0
2,"-1,0,1",7.5,2.0,7.0,59032.0
2,"-1,0,1",7.5,2.5,7.0,59032.0
2,"-1,0,1",7.5,3.0,7.0,59032.0
2,"-1,0,1",7.5,3.5,7.0,58719.0
2,"-1,0,1",7.5,4.0,7.0,58719.0
2,"-1,0,1",7.5,4.5,7.0,58704.0
2,"-1,0,1",7.5,5.0,7.0,58704.0
2,"-1,0,1",7.5,5.5,7.0,58493.0
2,"-1,0,1",7.5,6.0,7.0,58493.0
2,"-1,0,1",8.0,2.5,7.0,59069.0
2,"-1,0,1",8.0,2.0,7.0,59069.0
2,"-1,0,1",8.0,3.5,7.0,58769.0
2,"-1,0,1",8.0,3.0,7.0,59069.0
2,"-1,0,1",8.0,4.0,7.0,58769.0
2,"-1,0,1",8.0,4.5,7.0,58758.0
2,"-1,0,1",8.0,5.0,7.0,58758.0
2,"-1,0,1",8.0,5.5,7.0,58527.0
2,"-1,0,1",8.0,6.0,7.0,58527.0
2,"-1,0,1",8.5,2.5,7.0,59001.0
2,"-1,0,1",8.5,2.0,7.0,59001.0
2,"-1,0,1",8.5,3.0,7.0,59001.0
2,"-1,0,1",8.5,3.5,7.0,58756.0
2,"-1,0,1",8.5,4.0,7.0,58756.0
2,"-1,0,1",8.5,4.5,7.0,58738.0
2,"-1,0,1",8.5,5.0,7.0,58738.0
2,"-1,0,1",8.5,5.5,7.0,58534.0
2,"-1,0,1",8.5,6.0,7.0,58534.0
2,"-1,0,1",9.0,3.0,7.0,58901.0
2,"-1,0,1",9.0,2.5,7.0,58901.0
2,"-1,0,1",9.0,2.0,7.0,58901.0
2,"-1,0,1",9.0,3.5,7.0,58772.0
2,"-1,0,1",9.0,4.0,7.0,58772.0
2,"-1,0,1",9.0,4.5,7.0,58705.0
2,"-1,0,1",9.0,5.0,7.0,58705.0
2,"-1,0,1",9.0,5.5,7.0,58533.0
2,"-1,0,1",9.5,2.0,7.0,58820.0
2,"-1,0,1",9.0,6.0,7.0,58533.0
2,"-1,0,1",9.5,2.5,7.0,58820.0
2,"-1,0,1",9.5,3.0,7.0,58820.0
2,"-1,0,1",9.5,3.5,7.0,58706.0
2,"-1,0,1",9.5,4.0,7.0,58706.0
2,"-1,0,1",9.5,4.5,7.0,58649.0
2,"-1,0,1",9.5,5.0,7.0,58649.0
2,"-1,0,1",9.5,6.0,7.0,58489.0
2,"-1,0,1",9.5,5.5,7.0,58489.0
2,"-1,0,1",10.0,2.0,7.0,58728.0
2,"-1,0,1",10.0,2.5,7.0,58728.0
2,"-1,0,1",10.0,3.0,7.0,58728.0
2,"-1,0,1",10.0,3.5,7.0,58659.0
2,"-1,0,1",10.0,4.0,7.0,58659.0
2,"-1,0,1",10.0,4.5,7.0,58607.0
2,"-1,0,1",10.0,5.0,7.0,58607.0
2,"-1,0,1",10.0,5.5,7.0,58466.0
2,"-1,0,1",10.0,6.0,7.0,58466.0
2,"-1,0,1",7.0,2.5,7.5,59336.0
2,"-1,0,1",7.0,2.0,7.5,59336.0
2,"-1,0,1",7.0,3.0,7.5,59336.0
2,"-1,0,1",7.0,3.5,7.5,59077.0
2,"-1,0,1",7.0,4.0,7.5,59077.0
2,"-1,0,1",7.0,4.5,7.5,59075.0
2,"-1,0,1",7.0,5.0,7.5,59075.0
2,"-1,0,1",7.0,5.5,7.5,58860.0
2,"-1,0,1",7.0,6.0,7.5,58860.0
2,"-1,0,1",7.5,2.0,7.5,59503.0
2,"-1,0,1",7.5,2.5,7.5,59503.0
2,"-1,0,1",7.5,3.0,7.5,59503.0
2,"-1,0,1",7.5,3.5,7.5,59188.0
2,"-1,0,1",7.5,4.0,7.5,59188.0
2,"-1,0,1",7.5,4.5,7.5,59189.0
2,"-1,0,1",7.5,5.0,7.5,59189.0
2,"-1,0,1",7.5,5.5,7.5,58988.0
2,"-1,0,1",7.5,6.0,7.5,58988.0
2,"-1,0,1",8.0,2.0,7.5,59510.0
2,"-1,0,1",8.0,2.5,7.5,59510.0
2,"-1,0,1",8.0,3.5,7.5,59233.0
2,"-1,0,1",8.0,3.0,7.5,59510.0
2,"-1,0,1",8.0,4.0,7.5,59233.0
2,"-1,0,1",8.0,4.5,7.5,59205.0
2,"-1,0,1",8.0,5.0,7.5,59205.0
2,"-1,0,1",8.0,5.5,7.5,58992.0
2,"-1,0,1",8.0,6.0,7.5,58992.0
2,"-1,0,1",8.5,2.0,7.5,59469.0
2,"-1,0,1",8.5,3.0,7.5,59469.0
2,"-1,0,1",8.5,2.5,7.5,59469.0
2,"-1,0,1",8.5,3.5,7.5,59200.0
2,"-1,0,1",8.5,4.0,7.5,59200.0
2,"-1,0,1",8.5,4.5,7.5,59147.0
2,"-1,0,1",8.5,5.0,7.5,59147.0
2,"-1,0,1",8.5,5.5,7.5,58934.0
2,"-1,0,1",8.5,6.0,7.5,58934.0
2,"-1,0,1",9.0,2.0,7.5,59351.0
2,"-1,0,1",9.0,2.5,7.5,59351.0
2,"-1,0,1",9.0,3.0,7.5,59351.0
2,"-1,0,1",9.0,3.5,7.5,59198.0
2,"-1,0,1",9.0,4.0,7.5,59198.0
2,"-1,0,1",9.0,4.5,7.5,59104.0
2,"-1,0,1",9.0,5.0,7.5,59104.0
2,"-1,0,1",9.0,5.5,7.5,58919.0
2,"-1,0,1",9.5,2.0,7.5,59211.0
2,"-1,0,1",9.0,6.0,7.5,58919.0
2,"-1,0,1",9.5,2.5,7.5,59211.0
2,"-1,0,1",9.5,3.0,7.5,59211.0
2,"-1,0,1",9.5,3.5,7.5,59095.0
2,"-1,0,1",9.5,4.0,7.5,59095.0
2,"-1,0,1",9.5,4.5,7.5,58999.0
2,"-1,0,1",9.5,5.0,7.5,58999.0
2,"-1,0,1",9.5,5.5,7.5,58845.0
2,"-1,0,1",9.5,6.0,7.5,58845.0
2,"-1,0,1",10.0,2.0,7.5,59062.0
2,"-1,0,1",10.0,2.5,7.5,59062.0
2,"-1,0,1",10.0,3.0,7.5,59062.0
2,"-1,0,1",10.0,3.5,7.5,58963.0
2,"-1,0,1",10.0,4.0,7.5,58963.0
2,"-1,0,1",10.0,4.5,7.5,58921.0
2,"-1,0,1",10.0,5.0,7.5,58921.0
2,"-1,0,1",10.0,5.5,7.5,58821.0
2,"-1,0,1",10.0,6.0,7.5,58821.0
2,"-1,0,1",7.0,2.0,8.0,59336.0
2,"-1,0,1",7.0,2.5,8.0,59336.0
2,"-1,0,1",7.0,3.0,8.0,59336.0
2,"-1,0,1",7.0,3.5,8.0,59077.0
2,"-1,0,1",7.0,4.0,8.0,59077.0
2,"-1,0,1",7.0,4.5,8.0,59075.0
2,"-1,0,1",7.0,5.0,8.0,59075.0
2,"-1,0,1",7.0,6.0,8.0,58860.0
2,"-1,0,1",7.0,5.5,8.0,58860.0
2,"-1,0,1",7.5,2.0,8.0,59503.0
2,"-1,0,1",7.5,2.5,8.0,59503.0
2,"-1,0,1",7.5,3.0,8.0,59503.0
2,"-1,0,1",7.5,3.5,8.0,59188.0
2,"-1,0,1",7.5,4.5,8.0,59189.0
2,"-1,0,1",7.5,4.0,8.0,59188.0
2,"-1,0,1",7.5,5.0,8.0,59189.0
2,"-1,0,1",7.5,5.5,8.0,58988.0
2,"-1,0,1",7.5,6.0,8.0,58988.0
2,"-1,0,1",8.0,2.0,8.0,59510.0
2,"-1,0,1",8.0,2.5,8.0,59510.0
2,"-1,0,1",8.0,3.0,8.0,59510.0
2,"-1,0,1",8.0,3.5,8.0,59233.0
2,"-1,0,1",8.0,4.0,8.0,59233.0
2,"-1,0,1",8.0,4.5,8.0,59205.0
2,"-1,0,1",8.0,5.0,8.0,59205.0
2,"-1,0,1",8.0,5.5,8.0,58992.0
2,"-1,0,1",8.0,6.0,8.0,58992.0
2,"-1,0,1",8.5,2.0,8.0,59469.0
2,"-1,0,1",8.5,2.5,8.0,59469.0
2,"-1,0,1",8.5,3.0,8.0,59469.0
2,"-1,0,1",8.5,3.5,8.0,59200.0
2,"-1,0,1",8.5,4.5,8.0,59147.0
2,"-1,0,1",8.5,4.0,8.0,59200.0
2,"-1,0,1",8.5,5.0,8.0,59147.0
2,"-1,0,1",8.5,5.5,8.0,58934.0
2,"-1,0,1",8.5,6.0,8.0,58934.0
2,"-1,0,1",9.0,2.0,8.0,59351.0
2,"-1,0,1",9.0,2.5,8.0,59351.0
2,"-1,0,1",9.0,3.0,8.0,59351.0
2,"-1,0,1",9.0,3.5,8.0,59198.0
2,"-1,0,1",9.0,4.5,8.0,59104.0
2,"-1,0,1",9.0,4.0,8.0,59198.0
2,"-1,0,1",9.0,5.0,8.0,59104.0
2,"-1,0,1",9.0,5.5,8.0,58919.0
2,"-1,0,1",9.0,6.0,8.0,58919.0
2,"-1,0,1",9.5,2.5,8.0,59211.0
