round,days,min_position,phase2_sell_min_delta,phase2_buy_min_delta,final_pnl
2,"-1,0,1",77,1,4,246936.0
2,"-1,0,1",72,2,4,246754.5
2,"-1,0,1",73,2,4,247197.0
2,"-1,0,1",74,2,4,247994.5
2,"-1,0,1",75,2,4,248133.0
2,"-1,0,1",76,2,4,248432.5
2,"-1,0,1",77,2,4,246954.0
2,"-1,0,1",72,3,4,246694.5
2,"-1,0,1",73,3,4,247197.0
2,"-1,0,1",75,3,4,248133.0
2,"-1,0,1",74,3,4,247994.5
2,"-1,0,1",76,3,4,248432.5
2,"-1,0,1",77,3,4,246954.0
2,"-1,0,1",73,4,4,247197.0
2,"-1,0,1",72,4,4,246694.5
2,"-1,0,1",74,4,4,247994.5
2,"-1,0,1",75,4,4,248133.0
2,"-1,0,1",76,4,4,248432.5
2,"-1,0,1",77,4,4,246954.0
