SPAN,D,W,final_pnl,sharpe
200.0,60.0,20.0,-203485.0,-13.449866167173845
200.0,120.0,20.0,-40015.0,-5.581715554473648
200.0,100.0,20.0,-64136.0,-7.218331809626955
200.0,80.0,20.0,-110417.0,-9.808739603450132
200.0,140.0,20.0,-26177.0,-4.269439539862971
200.0,160.0,20.0,-16668.0,-3.212601216486701
200.0,80.0,26.0,-66129.0,-6.2139617523537956
200.0,60.0,26.0,-134629.0,-9.18643519650679
200.0,100.0,26.0,-35526.0,-4.318794895687442
200.0,120.0,26.0,-16483.0,-2.548403142626253
200.0,140.0,26.0,-8324.0,-1.5419477787479658
200.0,160.0,26.0,-3344.0,-0.7466724497947722
200.0,60.0,32.0,-92420.0,-6.572682923788766
200.0,80.0,32.0,-40351.0,-3.977294731875848
200.0,120.0,32.0,-4573.0,-0.7907454825447489
200.0,100.0,32.0,-16076.0,-2.1670095713683373
200.0,140.0,32.0,-754.0,-0.16928621064160998
200.0,160.0,32.0,2041.0,0.6200507366113301
200.0,80.0,38.0,-23861.0,-2.51745007968421
200.0,60.0,38.0,-63922.0,-4.732467470432731
200.0,100.0,38.0,-5212.0,-0.7832479368135524
200.0,120.0,38.0,1314.0,0.26606152746854944
200.0,160.0,38.0,3166.0,1.245550675250212
200.0,140.0,38.0,1681.0,0.5243744866034141
200.0,60.0,44.0,-42634.0,-3.318374450356324
200.0,80.0,44.0,-9275.0,-1.0836726299367894
200.0,100.0,44.0,2253.0,0.383581283296044
200.0,120.0,44.0,4067.0,1.0409216900487162
200.0,140.0,44.0,2309.0,0.813479919133419
200.0,160.0,44.0,1740.0,0.9690578587650575
1000.0,60.0,20.0,-160547.0,-6.227181244203966
1000.0,80.0,20.0,-79326.0,-4.0796506120780025
1000.0,100.0,20.0,-40908.0,-2.648514408281881
1000.0,120.0,20.0,-22565.0,-1.76370838532041
1000.0,160.0,20.0,-4963.0,-0.5303563032578139
1000.0,140.0,20.0,-12166.0,-1.130540221501276
1000.0,60.0,26.0,-93707.0,-3.685405022271115
1000.0,80.0,26.0,-38546.0,-2.017433508810568
1000.0,120.0,26.0,-2467.0,-0.20492781118158077
1000.0,100.0,26.0,-14450.0,-0.9648734917992657
1000.0,140.0,26.0,2475.0,0.24408038173975502
1000.0,160.0,26.0,5350.0,0.6211624901210854
1000.0,80.0,32.0,-15328.0,-0.8216545698141882
1000.0,60.0,32.0,-55190.0,-2.2063975256721973
1000.0,100.0,32.0,1033.0,0.07225629387243945
1000.0,120.0,32.0,7473.0,0.6484703822168515
1000.0,140.0,32.0,9119.0,0.9648851400871205
1000.0,160.0,32.0,7800.0,0.988263229833637
1000.0,60.0,38.0,-30594.0,-1.2465388990242683
1000.0,80.0,38.0,376.0,0.02079820345132956
1000.0,120.0,38.0,13343.0,1.2468340710702366
1000.0,100.0,38.0,8934.0,0.6511765648698085
1000.0,140.0,38.0,11031.0,1.2428528167578365
1000.0,160.0,38.0,11513.0,1.526980979189489
1000.0,60.0,44.0,-12390.0,-0.5157820971102723
1000.0,80.0,44.0,9331.0,0.5403356652382765
1000.0,100.0,44.0,13477.0,1.0462209638420554
1000.0,120.0,44.0,14792.0,1.4708362712674137
1000.0,140.0,44.0,11479.0,1.4170255999411796
1000.0,160.0,44.0,9851.0,1.3737694137958174
