round,days,min_position,phase2_sell_min_delta,phase2_buy_min_delta,final_pnl
1,"-2,-1,0",72,0,0,244630.0
1,"-2,-1,0",66,0,0,236222.0
1,"-2,-1,0",65,0,0,234353.0
1,"-2,-1,0",67,0,0,237541.0
1,"-2,-1,0",70,0,0,241832.0
1,"-2,-1,0",69,0,0,240607.0
1,"-2,-1,0",68,0,0,239284.0
1,"-2,-1,0",71,0,0,243284.0
1,"-2,-1,0",79,0,0,241734.0
1,"-2,-1,0",76,0,0,246934.0
1,"-2,-1,0",74,0,0,246347.0
1,"-2,-1,0",77,0,0,245940.0
1,"-2,-1,0",78,0,0,243939.0
1,"-2,-1,0",75,0,0,247180.0
1,"-2,-1,0",73,0,0,245858.0
1,"-2,-1,0",80,0,0,239529.0
1,"-2,-1,0",67,1,0,237541.0
1,"-2,-1,0",66,1,0,236222.0
1,"-2,-1,0",68,1,0,239284.0
1,"-2,-1,0",69,1,0,240607.0
1,"-2,-1,0",71,1,0,243284.0
1,"-2,-1,0",65,1,0,234353.0
1,"-2,-1,0",72,1,0,244630.0
1,"-2,-1,0",70,1,0,241832.0
1,"-2,-1,0",80,1,0,239529.0
1,"-2,-1,0",77,1,0,245940.0
1,"-2,-1,0",79,1,0,241734.0
1,"-2,-1,0",74,1,0,246347.0
1,"-2,-1,0",75,1,0,247180.0
1,"-2,-1,0",76,1,0,246934.0
1,"-2,-1,0",78,1,0,243939.0
1,"-2,-1,0",73,1,0,245858.0
1,"-2,-1,0",65,2,0,234245.0
1,"-2,-1,0",68,2,0,239202.0
1,"-2,-1,0",67,2,0,237459.0
1,"-2,-1,0",72,2,0,244579.0
1,"-2,-1,0",70,2,0,241838.0
1,"-2,-1,0",69,2,0,240496.0
1,"-2,-1,0",66,2,0,236131.0
1,"-2,-1,0",71,2,0,243246.0
1,"-2,-1,0",73,2,0,245807.0
1,"-2,-1,0",74,2,0,246288.0
1,"-2,-1,0",80,2,0,239529.0
1,"-2,-1,0",77,2,0,245928.0
1,"-2,-1,0",75,2,0,247133.0
1,"-2,-1,0",78,2,0,243931.0
1,"-2,-1,0",76,2,0,246894.0
1,"-2,-1,0",79,2,0,241730.0
1,"-2,-1,0",65,3,0,234288.0
1,"-2,-1,0",66,3,0,236172.0
1,"-2,-1,0",67,3,0,237477.0
1,"-2,-1,0",72,3,0,244613.0
1,"-2,-1,0",69,3,0,240530.0
1,"-2,-1,0",71,3,0,243270.0
1,"-2,-1,0",70,3,0,241867.0
1,"-2,-1,0",68,3,0,239241.0
1,"-2,-1,0",73,3,0,245827.0
1,"-2,-1,0",74,3,0,246308.0
1,"-2,-1,0",75,3,0,247138.0
1,"-2,-1,0",80,3,0,239529.0
1,"-2,-1,0",76,3,0,246898.0
1,"-2,-1,0",77,3,0,245931.0
1,"-2,-1,0",79,3,0,241731.0
1,"-2,-1,0",78,3,0,243933.0
1,"-2,-1,0",65,4,0,234288.0
1,"-2,-1,0",66,4,0,236172.0
1,"-2,-1,0",67,4,0,237477.0
1,"-2,-1,0",68,4,0,239241.0
1,"-2,-1,0",69,4,0,240530.0
