
[  66/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 77.000 PnL=   62576.0 ETA= 4832.2s
[  67/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 74.000 PnL=   62183.0 ETA= 4752.9s
[  68/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 80.000 PnL=   62628.0 ETA= 4676.0s
[  69/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 78.000 PnL=   62722.0 ETA= 4601.4s
[  70/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 77.000 PnL=   62456.0 ETA= 4528.8s
[  71/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 74.000 PnL=   62271.0 ETA= 4458.3s
[  72/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 76.000 PnL=   62544.0 ETA= 4389.8s
[  73/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 80.000 PnL=   62806.0 ETA= 4323.1s
[  74/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 79.000 PnL=   62541.0 ETA= 4258.2s
[  75/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 77.000 PnL=   62730.0 ETA= 4195.1s
[  76/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 76.000 PnL=   62609.0 ETA= 4133.6s
[  77/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 80.000 PnL=   62693.0 ETA= 4073.8s
[  78/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 75.000 PnL=   62496.0 ETA= 4015.4s
[  79/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 79.000 PnL=   62806.0 ETA= 3958.6s
[  80/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 77.000 PnL=   62701.0 ETA= 3903.1s
[  81/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 78.000 PnL=   62553.0 ETA= 3849.0s
[  82/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 76.000 PnL=   62739.0 ETA= 3796.3s
[  83/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 75.000 PnL=   62203.0 ETA= 3744.8s
[  84/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 79.000 PnL=   62606.0 ETA= 3694.6s
[  85/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 74.000 PnL=   62382.0 ETA= 3645.5s
[  86/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 78.000 PnL=   62785.0 ETA= 3597.5s
[  87/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 77.000 PnL=   62561.0 ETA= 3550.7s
[  88/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 75.000 PnL=   62421.0 ETA= 3505.0s
[  89/735] DELTA_Q_TARGET= 19.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 74.000 PnL=   62135.0 ETA= 3460.2s
[  90/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 78.000 PnL=   62618.0 ETA= 3416.5s
[  91/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 80.000 PnL=   62787.0 ETA= 3373.7s
[  92/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 77.000 PnL=   62793.0 ETA= 3331.8s
[  93/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 76.000 PnL=   62692.0 ETA= 3290.9s
[  94/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 74.000 PnL=   62340.0 ETA= 3250.8s
[  95/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 80.000 PnL=   62058.0 ETA= 3211.6s
[  96/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 77.000 PnL=   62626.0 ETA= 3173.1s
[  97/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 79.000 PnL=   62757.0 ETA= 3135.5s
[  98/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 76.000 PnL=   62805.0 ETA= 3098.7s
[  99/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 75.000 PnL=   62376.0 ETA= 3062.5s
[ 100/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 80.000 PnL=   62605.0 ETA= 3027.2s
[ 101/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 79.000 PnL=   62058.0 ETA= 2992.5s
[ 102/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 76.000 PnL=   62735.0 ETA= 2958.4s
[ 103/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 78.000 PnL=   62757.0 ETA= 2925.1s
[ 104/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 75.000 PnL=   62429.0 ETA= 2892.4s
[ 105/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 74.000 PnL=   62271.0 ETA= 2860.3s
[ 106/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 40.000 DELTA_Q_ULTRA= 79.000 PnL=   61954.0 ETA= 2828.8s
[ 107/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 79.000 PnL=   62605.0 ETA= 2797.9s
[ 108/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 78.000 PnL=   62066.0 ETA= 2767.6s
[ 109/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 75.000 PnL=   62357.0 ETA= 2737.8s
[ 110/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 77.000 PnL=   62741.0 ETA= 2708.6s
[ 111/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 74.000 PnL=   62389.0 ETA= 2679.9s
[ 112/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 80.000 PnL=   62769.0 ETA= 2651.7s
[ 113/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 78.000 PnL=   62617.0 ETA= 2624.1s
[ 114/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 77.000 PnL=   62084.0 ETA= 2596.9s
[ 115/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 74.000 PnL=   62285.0 ETA= 2570.1s
[ 116/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 76.000 PnL=   62709.0 ETA= 2543.9s
[ 117/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 80.000 PnL=   62680.0 ETA= 2518.0s
[ 118/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 79.000 PnL=   62682.0 ETA= 2492.7s
[ 119/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 77.000 PnL=   62625.0 ETA= 2467.7s
[ 120/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 76.000 PnL=   62125.0 ETA= 2443.2s
[ 121/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 80.000 PnL=   62517.0 ETA= 2419.0s
[ 122/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 75.000 PnL=   62545.0 ETA= 2395.3s
[ 123/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 79.000 PnL=   62664.0 ETA= 2372.0s
[ 124/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 78.000 PnL=   62694.0 ETA= 2349.0s
[ 125/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 76.000 PnL=   62611.0 ETA= 2326.4s
[ 126/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 75.000 PnL=   61973.0 ETA= 2304.1s
[ 127/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 79.000 PnL=   62517.0 ETA= 2282.2s
[ 128/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 74.000 PnL=   62464.0 ETA= 2260.7s
[ 129/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 78.000 PnL=   62643.0 ETA= 2239.5s
[ 130/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 77.000 PnL=   62702.0 ETA= 2218.6s
[ 131/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 75.000 PnL=   62311.0 ETA= 2198.0s
[ 132/735] DELTA_Q_TARGET= 18.000 DELTA_Q_EXTREME= 43.000 DELTA_Q_ULTRA= 74.000 PnL=   61954.0 ETA= 2177.7s
[ 133/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 78.000 PnL=   62529.0 ETA= 2157.8s
[ 134/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 80.000 PnL=   62728.0 ETA= 2138.1s
[ 135/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 77.000 PnL=   62691.0 ETA= 2118.7s
[ 136/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 76.000 PnL=   62735.0 ETA= 2099.7s
[ 137/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 74.000 PnL=   62238.0 ETA= 2080.9s
[ 138/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 80.000 PnL=   62611.0 ETA= 2062.3s
[ 139/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 54.000 DELTA_Q_ULTRA= 77.000 PnL=   62537.0 ETA= 2044.1s
[ 140/735] DELTA_Q_TARGET= 22.000 DELTA_Q_EXTREME= 41.000 DELTA_Q_ULTRA= 79.000 PnL=   62728.0 ETA= 2026.0s
[ 141/735] DELTA_Q_TARGET= 20.000 DELTA_Q_EXTREME= 53.000 DELTA_Q_ULTRA= 76.000 PnL=   62742.0 ETA= 2008.3s
[ 142/735] DELTA_Q_TARGET= 23.000 DELTA_Q_EXTREME= 50.000 DELTA_Q_ULTRA= 75.000 PnL=   62401.0 ETA= 1990.8s
[ 143/735] DELTA_Q_TARGET= 21.000 DELTA_Q_EXTREME= 45.000 DELTA_Q_ULTRA= 80.000 PnL=   62862.0 ETA= 1973.5s
[ 144/735] DELTA_Q_TARGET= 24.000 DELTA_Q_EXTREME= 42.000 DELTA_Q_ULTRA= 79.000 PnL=   62569.0 ETA= 1956.5s
