round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",24.0,46.0,76.0,62696.0
2,"-1,0,1",20.0,44.0,75.0,62520.0
2,"-1,0,1",19.0,48.0,76.0,62569.0
2,"-1,0,1",21.0,40.0,76.0,62768.0
2,"-1,0,1",18.0,52.0,77.0,61976.0
2,"-1,0,1",21.0,49.0,76.0,62847.0
2,"-1,0,1",24.0,46.0,75.0,62396.0
2,"-1,0,1",20.0,44.0,74.0,62437.0
2,"-1,0,1",19.0,48.0,75.0,62187.0
2,"-1,0,1",18.0,52.0,76.0,61980.0
2,"-1,0,1",21.0,49.0,75.0,62511.0
2,"-1,0,1",24.0,46.0,74.0,62282.0
2,"-1,0,1",19.0,44.0,80.0,62612.0
2,"-1,0,1",21.0,40.0,75.0,62586.0
2,"-1,0,1",19.0,48.0,74.0,62116.0
2,"-1,0,1",18.0,52.0,75.0,61828.0
2,"-1,0,1",21.0,49.0,74.0,62433.0
2,"-1,0,1",23.0,46.0,80.0,62752.0
2,"-1,0,1",19.0,44.0,79.0,62585.0
2,"-1,0,1",18.0,48.0,80.0,61959.0
2,"-1,0,1",18.0,52.0,74.0,61848.0
2,"-1,0,1",20.0,49.0,80.0,62736.0
2,"-1,0,1",23.0,46.0,79.0,62710.0
2,"-1,0,1",19.0,44.0,78.0,62478.0
2,"-1,0,1",18.0,48.0,79.0,61959.0
2,"-1,0,1",24.0,51.0,80.0,62628.0
2,"-1,0,1",20.0,49.0,79.0,62720.0
2,"-1,0,1",19.0,40.0,80.0,62668.0
2,"-1,0,1",23.0,46.0,78.0,62722.0
2,"-1,0,1",19.0,44.0,77.0,62456.0
2,"-1,0,1",18.0,48.0,78.0,61967.0
2,"-1,0,1",21.0,40.0,78.0,62960.0
2,"-1,0,1",24.0,51.0,79.0,62541.0
2,"-1,0,1",20.0,49.0,78.0,62699.0
2,"-1,0,1",23.0,46.0,77.0,62730.0
2,"-1,0,1",19.0,44.0,76.0,62585.0
2,"-1,0,1",18.0,48.0,77.0,61985.0
2,"-1,0,1",24.0,51.0,78.0,62553.0
2,"-1,0,1",20.0,49.0,77.0,62747.0
2,"-1,0,1",23.0,46.0,76.0,62739.0
2,"-1,0,1",19.0,44.0,75.0,62203.0
2,"-1,0,1",18.0,48.0,76.0,62034.0
2,"-1,0,1",24.0,51.0,77.0,62561.0
2,"-1,0,1",20.0,49.0,76.0,62784.0
2,"-1,0,1",23.0,46.0,75.0,62421.0
2,"-1,0,1",19.0,44.0,74.0,62135.0
2,"-1,0,1",18.0,48.0,75.0,61882.0
2,"-1,0,1",24.0,51.0,76.0,62692.0
2,"-1,0,1",20.0,49.0,75.0,62488.0
2,"-1,0,1",23.0,46.0,74.0,62340.0
2,"-1,0,1",18.0,44.0,80.0,61959.0
2,"-1,0,1",19.0,40.0,79.0,62510.0
2,"-1,0,1",18.0,48.0,74.0,61860.0
2,"-1,0,1",24.0,51.0,75.0,62376.0
2,"-1,0,1",20.0,49.0,74.0,62406.0
2,"-1,0,1",22.0,46.0,80.0,62605.0
2,"-1,0,1",18.0,44.0,79.0,61959.0
2,"-1,0,1",24.0,47.0,80.0,62611.0
2,"-1,0,1",18.0,44.0,78.0,61967.0
2,"-1,0,1",24.0,51.0,74.0,62271.0
2,"-1,0,1",22.0,46.0,79.0,62605.0
2,"-1,0,1",19.0,49.0,80.0,62632.0
2,"-1,0,1",24.0,47.0,79.0,62569.0
2,"-1,0,1",23.0,51.0,80.0,62769.0
2,"-1,0,1",19.0,49.0,79.0,62539.0
2,"-1,0,1",22.0,46.0,78.0,62617.0
2,"-1,0,1",18.0,44.0,77.0,61985.0
2,"-1,0,1",24.0,47.0,78.0,62581.0
2,"-1,0,1",23.0,51.0,79.0,62682.0
2,"-1,0,1",19.0,49.0,78.0,62432.0
2,"-1,0,1",22.0,46.0,77.0,62625.0
2,"-1,0,1",18.0,44.0,76.0,62050.0
2,"-1,0,1",24.0,47.0,77.0,62589.0
2,"-1,0,1",23.0,51.0,78.0,62694.0
2,"-1,0,1",19.0,49.0,77.0,62440.0
2,"-1,0,1",22.0,46.0,76.0,62611.0
2,"-1,0,1",18.0,44.0,75.0,61898.0
2,"-1,0,1",24.0,47.0,76.0,62696.0
2,"-1,0,1",23.0,51.0,77.0,62702.0
2,"-1,0,1",19.0,49.0,76.0,62553.0
2,"-1,0,1",22.0,46.0,75.0,62311.0
2,"-1,0,1",18.0,44.0,74.0,61879.0
2,"-1,0,1",24.0,47.0,75.0,62396.0
2,"-1,0,1",23.0,51.0,76.0,62735.0
2,"-1,0,1",19.0,49.0,75.0,62171.0
2,"-1,0,1",22.0,46.0,74.0,62238.0
2,"-1,0,1",24.0,43.0,80.0,62611.0
2,"-1,0,1",20.0,40.0,80.0,62824.0
2,"-1,0,1",24.0,47.0,74.0,62282.0
2,"-1,0,1",23.0,51.0,75.0,62401.0
2,"-1,0,1",19.0,49.0,74.0,62104.0
2,"-1,0,1",21.0,46.0,80.0,62862.0
2,"-1,0,1",24.0,43.0,79.0,62569.0
2,"-1,0,1",23.0,47.0,80.0,62752.0
2,"-1,0,1",20.0,40.0,79.0,62824.0
2,"-1,0,1",23.0,51.0,74.0,62329.0
2,"-1,0,1",18.0,49.0,80.0,61959.0
2,"-1,0,1",21.0,46.0,79.0,62862.0
2,"-1,0,1",24.0,43.0,78.0,62581.0
2,"-1,0,1",23.0,47.0,79.0,62710.0
2,"-1,0,1",22.0,51.0,80.0,62593.0
2,"-1,0,1",18.0,49.0,79.0,61959.0
2,"-1,0,1",21.0,46.0,78.0,62841.0
2,"-1,0,1",24.0,43.0,77.0,62589.0
2,"-1,0,1",23.0,47.0,78.0,62722.0
2,"-1,0,1",22.0,51.0,79.0,62593.0
2,"-1,0,1",18.0,49.0,78.0,61967.0
2,"-1,0,1",21.0,46.0,77.0,62849.0
2,"-1,0,1",24.0,43.0,76.0,62720.0
2,"-1,0,1",23.0,47.0,77.0,62730.0
2,"-1,0,1",22.0,51.0,78.0,62605.0
2,"-1,0,1",18.0,49.0,77.0,61985.0
2,"-1,0,1",21.0,46.0,76.0,62879.0
2,"-1,0,1",24.0,43.0,75.0,62396.0
2,"-1,0,1",23.0,47.0,76.0,62739.0
2,"-1,0,1",22.0,51.0,77.0,62613.0
2,"-1,0,1",18.0,49.0,76.0,62018.0
2,"-1,0,1",21.0,46.0,75.0,62543.0
2,"-1,0,1",24.0,43.0,74.0,62282.0
2,"-1,0,1",23.0,47.0,75.0,62421.0
2,"-1,0,1",22.0,51.0,76.0,62587.0
2,"-1,0,1",18.0,49.0,75.0,61866.0
2,"-1,0,1",21.0,46.0,74.0,62456.0
2,"-1,0,1",23.0,43.0,80.0,62776.0
2,"-1,0,1",23.0,47.0,74.0,62340.0
2,"-1,0,1",22.0,51.0,75.0,62291.0
2,"-1,0,1",18.0,49.0,74.0,61848.0
2,"-1,0,1",20.0,46.0,80.0,62716.0
2,"-1,0,1",23.0,43.0,79.0,62734.0
2,"-1,0,1",22.0,47.0,80.0,62605.0
2,"-1,0,1",22.0,51.0,74.0,62227.0
2,"-1,0,1",24.0,48.0,80.0,62640.0
2,"-1,0,1",20.0,46.0,79.0,62716.0
2,"-1,0,1",23.0,43.0,78.0,62746.0
2,"-1,0,1",22.0,47.0,79.0,62605.0
2,"-1,0,1",21.0,51.0,80.0,62850.0
2,"-1,0,1",24.0,48.0,79.0,62569.0
2,"-1,0,1",20.0,46.0,78.0,62695.0
2,"-1,0,1",23.0,43.0,77.0,62754.0
2,"-1,0,1",22.0,47.0,78.0,62617.0
2,"-1,0,1",21.0,51.0,79.0,62850.0
2,"-1,0,1",24.0,48.0,78.0,62581.0
2,"-1,0,1",20.0,46.0,77.0,62763.0
2,"-1,0,1",23.0,43.0,76.0,62763.0
2,"-1,0,1",18.0,40.0,78.0,61954.0
2,"-1,0,1",22.0,47.0,77.0,62625.0
2,"-1,0,1",21.0,51.0,78.0,62829.0
2,"-1,0,1",24.0,48.0,77.0,62589.0
2,"-1,0,1",20.0,46.0,76.0,62816.0
2,"-1,0,1",23.0,43.0,75.0,62445.0
2,"-1,0,1",22.0,47.0,76.0,62611.0
2,"-1,0,1",21.0,51.0,77.0,62837.0
2,"-1,0,1",24.0,48.0,76.0,62708.0
2,"-1,0,1",20.0,46.0,75.0,62520.0
2,"-1,0,1",23.0,43.0,74.0,62364.0
2,"-1,0,1",22.0,47.0,75.0,62311.0
2,"-1,0,1",21.0,51.0,76.0,62805.0
2,"-1,0,1",24.0,48.0,75.0,62392.0
2,"-1,0,1",20.0,46.0,74.0,62429.0
2,"-1,0,1",22.0,43.0,80.0,62629.0
2,"-1,0,1",22.0,47.0,74.0,62238.0
2,"-1,0,1",21.0,51.0,75.0,62473.0
2,"-1,0,1",24.0,48.0,74.0,62283.0
2,"-1,0,1",19.0,46.0,80.0,62612.0
2,"-1,0,1",22.0,43.0,79.0,62629.0
2,"-1,0,1",21.0,47.0,80.0,62862.0
2,"-1,0,1",18.0,40.0,77.0,61844.0
2,"-1,0,1",23.0,48.0,80.0,62781.0
2,"-1,0,1",19.0,46.0,79.0,62585.0
2,"-1,0,1",22.0,43.0,78.0,62641.0
2,"-1,0,1",21.0,51.0,74.0,62433.0
2,"-1,0,1",21.0,47.0,79.0,62862.0
2,"-1,0,1",20.0,51.0,80.0,62724.0
2,"-1,0,1",23.0,48.0,79.0,62710.0
2,"-1,0,1",19.0,46.0,78.0,62478.0
2,"-1,0,1",22.0,43.0,77.0,62649.0
2,"-1,0,1",21.0,47.0,78.0,62841.0
2,"-1,0,1",20.0,51.0,79.0,62708.0
2,"-1,0,1",23.0,48.0,78.0,62722.0
2,"-1,0,1",19.0,46.0,77.0,62456.0
2,"-1,0,1",22.0,43.0,76.0,62635.0
2,"-1,0,1",21.0,47.0,77.0,62849.0
2,"-1,0,1",22.0,43.0,75.0,62335.0
2,"-1,0,1",23.0,48.0,77.0,62730.0
2,"-1,0,1",20.0,51.0,78.0,62687.0
2,"-1,0,1",19.0,46.0,76.0,62585.0
2,"-1,0,1",21.0,47.0,76.0,62879.0
2,"-1,0,1",20.0,51.0,77.0,62735.0
2,"-1,0,1",23.0,48.0,76.0,62751.0
2,"-1,0,1",19.0,46.0,75.0,62203.0
2,"-1,0,1",22.0,43.0,74.0,62262.0
2,"-1,0,1",21.0,47.0,75.0,62543.0
2,"-1,0,1",20.0,51.0,76.0,62742.0
2,"-1,0,1",23.0,48.0,75.0,62417.0
2,"-1,0,1",19.0,46.0,74.0,62127.0
2,"-1,0,1",21.0,43.0,80.0,62886.0
2,"-1,0,1",21.0,47.0,74.0,62456.0
2,"-1,0,1",20.0,51.0,75.0,62450.0
2,"-1,0,1",23.0,48.0,74.0,62341.0
2,"-1,0,1",18.0,46.0,80.0,61959.0
2,"-1,0,1",21.0,43.0,79.0,62886.0
2,"-1,0,1",20.0,47.0,80.0,62716.0
2,"-1,0,1",20.0,51.0,74.0,62406.0
2,"-1,0,1",22.0,48.0,80.0,62605.0
2,"-1,0,1",18.0,46.0,79.0,61959.0
2,"-1,0,1",21.0,43.0,78.0,62865.0
2,"-1,0,1",20.0,47.0,79.0,62716.0
2,"-1,0,1",18.0,46.0,78.0,61967.0
2,"-1,0,1",21.0,43.0,77.0,62873.0
2,"-1,0,1",19.0,51.0,80.0,62596.0
2,"-1,0,1",22.0,48.0,79.0,62605.0
2,"-1,0,1",20.0,47.0,78.0,62695.0
2,"-1,0,1",21.0,43.0,76.0,62903.0
2,"-1,0,1",19.0,51.0,79.0,62527.0
2,"-1,0,1",22.0,48.0,78.0,62617.0
2,"-1,0,1",18.0,46.0,77.0,61985.0
2,"-1,0,1",20.0,47.0,77.0,62763.0
2,"-1,0,1",19.0,51.0,78.0,62420.0
2,"-1,0,1",22.0,48.0,77.0,62625.0
2,"-1,0,1",18.0,46.0,76.0,62050.0
2,"-1,0,1",21.0,43.0,75.0,62567.0
2,"-1,0,1",19.0,40.0,74.0,62110.0
2,"-1,0,1",20.0,47.0,76.0,62816.0
