round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",20.0,53.0,80.0,62680.0
2,"-1,0,1",23.0,50.0,79.0,62682.0
2,"-1,0,1",22.0,45.0,77.0,62625.0
2,"-1,0,1",18.0,43.0,76.0,62125.0
2,"-1,0,1",22.0,54.0,80.0,62517.0
2,"-1,0,1",23.0,41.0,75.0,62545.0
2,"-1,0,1",20.0,53.0,79.0,62664.0
2,"-1,0,1",23.0,50.0,78.0,62694.0
2,"-1,0,1",22.0,45.0,76.0,62611.0
2,"-1,0,1",18.0,43.0,75.0,61973.0
2,"-1,0,1",22.0,54.0,79.0,62517.0
2,"-1,0,1",23.0,41.0,74.0,62464.0
2,"-1,0,1",20.0,53.0,78.0,62643.0
2,"-1,0,1",23.0,50.0,77.0,62702.0
2,"-1,0,1",22.0,45.0,75.0,62311.0
2,"-1,0,1",18.0,43.0,74.0,61954.0
2,"-1,0,1",22.0,54.0,78.0,62529.0
2,"-1,0,1",22.0,41.0,80.0,62728.0
2,"-1,0,1",20.0,53.0,77.0,62691.0
2,"-1,0,1",23.0,50.0,76.0,62735.0
2,"-1,0,1",22.0,45.0,74.0,62238.0
2,"-1,0,1",24.0,42.0,80.0,62611.0
2,"-1,0,1",22.0,54.0,77.0,62537.0
2,"-1,0,1",22.0,41.0,79.0,62728.0
2,"-1,0,1",20.0,53.0,76.0,62742.0
2,"-1,0,1",23.0,50.0,75.0,62401.0
2,"-1,0,1",21.0,45.0,80.0,62862.0
2,"-1,0,1",24.0,42.0,79.0,62569.0
2,"-1,0,1",22.0,54.0,76.0,62587.0
2,"-1,0,1",22.0,41.0,78.0,62736.0
2,"-1,0,1",20.0,53.0,75.0,62406.0
2,"-1,0,1",23.0,50.0,74.0,62329.0
2,"-1,0,1",21.0,45.0,79.0,62862.0
2,"-1,0,1",24.0,42.0,78.0,62581.0
2,"-1,0,1",22.0,54.0,75.0,62247.0
2,"-1,0,1",22.0,41.0,77.0,62579.0
2,"-1,0,1",20.0,53.0,74.0,62362.0
2,"-1,0,1",22.0,50.0,80.0,62593.0
2,"-1,0,1",21.0,45.0,78.0,62841.0
2,"-1,0,1",24.0,42.0,77.0,62589.0
2,"-1,0,1",22.0,54.0,74.0,62183.0
2,"-1,0,1",22.0,41.0,76.0,62500.0
2,"-1,0,1",19.0,53.0,80.0,62596.0
2,"-1,0,1",22.0,50.0,79.0,62593.0
2,"-1,0,1",21.0,45.0,77.0,62849.0
2,"-1,0,1",24.0,42.0,76.0,62720.0
2,"-1,0,1",21.0,54.0,80.0,62779.0
2,"-1,0,1",22.0,41.0,75.0,62354.0
2,"-1,0,1",19.0,53.0,79.0,62527.0
2,"-1,0,1",22.0,50.0,78.0,62605.0
2,"-1,0,1",21.0,45.0,76.0,62879.0
2,"-1,0,1",24.0,42.0,75.0,62396.0
2,"-1,0,1",21.0,54.0,79.0,62779.0
2,"-1,0,1",22.0,41.0,74.0,62281.0
2,"-1,0,1",19.0,53.0,78.0,62420.0
2,"-1,0,1",22.0,50.0,77.0,62613.0
2,"-1,0,1",21.0,45.0,75.0,62543.0
2,"-1,0,1",24.0,42.0,74.0,62282.0
2,"-1,0,1",21.0,54.0,78.0,62758.0
2,"-1,0,1",21.0,41.0,80.0,62985.0
2,"-1,0,1",19.0,53.0,77.0,62428.0
2,"-1,0,1",22.0,50.0,76.0,62587.0
2,"-1,0,1",21.0,45.0,74.0,62464.0
2,"-1,0,1",23.0,42.0,80.0,62776.0
2,"-1,0,1",21.0,54.0,77.0,62766.0
2,"-1,0,1",21.0,41.0,79.0,62985.0
2,"-1,0,1",19.0,53.0,76.0,62511.0
2,"-1,0,1",22.0,50.0,75.0,62291.0
2,"-1,0,1",20.0,45.0,80.0,62716.0
2,"-1,0,1",23.0,42.0,79.0,62734.0
2,"-1,0,1",21.0,54.0,76.0,62805.0
2,"-1,0,1",21.0,41.0,78.0,62960.0
2,"-1,0,1",19.0,53.0,75.0,62133.0
2,"-1,0,1",22.0,50.0,74.0,62227.0
2,"-1,0,1",20.0,45.0,79.0,62716.0
2,"-1,0,1",23.0,42.0,78.0,62746.0
2,"-1,0,1",21.0,54.0,75.0,62429.0
2,"-1,0,1",21.0,41.0,77.0,62803.0
2,"-1,0,1",19.0,53.0,74.0,62104.0
2,"-1,0,1",21.0,50.0,80.0,62862.0
2,"-1,0,1",20.0,45.0,78.0,62695.0
2,"-1,0,1",23.0,42.0,77.0,62754.0
2,"-1,0,1",19.0,40.0,76.0,62374.0
2,"-1,0,1",21.0,54.0,74.0,62389.0
2,"-1,0,1",21.0,41.0,76.0,62768.0
2,"-1,0,1",18.0,53.0,80.0,61947.0
2,"-1,0,1",21.0,50.0,79.0,62862.0
2,"-1,0,1",20.0,45.0,77.0,62763.0
2,"-1,0,1",23.0,42.0,76.0,62763.0
2,"-1,0,1",20.0,54.0,80.0,62653.0
2,"-1,0,1",21.0,41.0,75.0,62586.0
2,"-1,0,1",18.0,53.0,79.0,61947.0
2,"-1,0,1",21.0,50.0,78.0,62841.0
2,"-1,0,1",20.0,45.0,76.0,62816.0
2,"-1,0,1",23.0,42.0,75.0,62445.0
2,"-1,0,1",20.0,54.0,79.0,62637.0
2,"-1,0,1",21.0,41.0,74.0,62463.0
2,"-1,0,1",18.0,53.0,78.0,61955.0
2,"-1,0,1",21.0,50.0,77.0,62849.0
2,"-1,0,1",20.0,45.0,75.0,62520.0
2,"-1,0,1",23.0,42.0,74.0,62364.0
2,"-1,0,1",20.0,54.0,78.0,62616.0
2,"-1,0,1",20.0,41.0,80.0,62824.0
2,"-1,0,1",18.0,53.0,77.0,61976.0
2,"-1,0,1",21.0,50.0,76.0,62843.0
2,"-1,0,1",20.0,45.0,74.0,62437.0
2,"-1,0,1",22.0,42.0,80.0,62645.0
2,"-1,0,1",20.0,54.0,77.0,62664.0
2,"-1,0,1",20.0,41.0,79.0,62824.0
2,"-1,0,1",18.0,53.0,76.0,61980.0
2,"-1,0,1",21.0,50.0,75.0,62511.0
2,"-1,0,1",19.0,45.0,80.0,62612.0
2,"-1,0,1",22.0,42.0,79.0,62645.0
2,"-1,0,1",20.0,54.0,76.0,62742.0
2,"-1,0,1",20.0,41.0,78.0,62799.0
2,"-1,0,1",18.0,53.0,75.0,61828.0
2,"-1,0,1",21.0,50.0,74.0,62433.0
2,"-1,0,1",19.0,45.0,79.0,62585.0
2,"-1,0,1",22.0,42.0,78.0,62657.0
2,"-1,0,1",20.0,54.0,75.0,62406.0
2,"-1,0,1",20.0,41.0,77.0,62701.0
2,"-1,0,1",18.0,53.0,74.0,61848.0
2,"-1,0,1",20.0,50.0,80.0,62736.0
2,"-1,0,1",19.0,45.0,78.0,62478.0
2,"-1,0,1",22.0,42.0,77.0,62665.0
2,"-1,0,1",20.0,54.0,74.0,62362.0
2,"-1,0,1",20.0,41.0,76.0,62705.0
2,"-1,0,1",24.0,52.0,80.0,62628.0
2,"-1,0,1",20.0,50.0,79.0,62720.0
2,"-1,0,1",19.0,45.0,77.0,62456.0
2,"-1,0,1",22.0,42.0,76.0,62635.0
2,"-1,0,1",19.0,54.0,80.0,62569.0
2,"-1,0,1",20.0,41.0,75.0,62563.0
2,"-1,0,1",24.0,52.0,79.0,62541.0
2,"-1,0,1",20.0,50.0,78.0,62699.0
2,"-1,0,1",19.0,45.0,76.0,62585.0
2,"-1,0,1",22.0,42.0,75.0,62335.0
2,"-1,0,1",19.0,54.0,79.0,62500.0
2,"-1,0,1",20.0,41.0,74.0,62436.0
2,"-1,0,1",24.0,52.0,78.0,62553.0
2,"-1,0,1",20.0,50.0,77.0,62747.0
2,"-1,0,1",19.0,45.0,75.0,62203.0
2,"-1,0,1",22.0,42.0,74.0,62262.0
2,"-1,0,1",19.0,54.0,78.0,62393.0
2,"-1,0,1",19.0,41.0,80.0,62668.0
2,"-1,0,1",24.0,52.0,77.0,62561.0
2,"-1,0,1",20.0,50.0,76.0,62780.0
2,"-1,0,1",19.0,45.0,74.0,62135.0
2,"-1,0,1",21.0,42.0,80.0,62902.0
2,"-1,0,1",18.0,40.0,74.0,61762.0
2,"-1,0,1",19.0,54.0,77.0,62401.0
2,"-1,0,1",19.0,41.0,79.0,62510.0
2,"-1,0,1",24.0,52.0,76.0,62692.0
2,"-1,0,1",20.0,50.0,75.0,62488.0
2,"-1,0,1",18.0,45.0,80.0,61959.0
2,"-1,0,1",21.0,42.0,79.0,62902.0
2,"-1,0,1",19.0,54.0,76.0,62511.0
2,"-1,0,1",19.0,41.0,78.0,62510.0
2,"-1,0,1",24.0,52.0,75.0,62376.0
2,"-1,0,1",20.0,50.0,74.0,62406.0
2,"-1,0,1",18.0,45.0,79.0,61959.0
2,"-1,0,1",21.0,42.0,78.0,62881.0
