product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5500,1500,0.5,2.0,4102.0,0.7771469119806885
VEV_5500,10000,0.5,2.0,3936.0,0.6280963981284223
VEV_5500,500,0.5,2.0,2300.0,0.6088957685667002
VEV_5500,4000,0.5,2.0,4478.0,0.7954129492031375
VEV_5500,500,0.75,3.0,300.0,0.2003549320662263
VEV_5500,25000,0.5,2.0,3936.0,0.6280963981284223
VEV_5500,4000,0.75,3.0,3538.0,1.0267537571116419
VEV_5500,1500,0.75,3.0,1500.0,0.7122968199018518
VEV_5500,25000,0.75,3.0,3798.0,0.7489850126644458
VEV_5500,10000,0.75,3.0,3798.0,0.7489850126644458
VEV_5500,1500,1.0,4.0,0.0,0.0
VEV_5500,500,1.0,4.0,0.0,0.0
VEV_5500,10000,1.0,4.0,150.0,0.053599088728293325
VEV_5500,25000,1.0,4.0,-150.0,-0.04974607438785849
VEV_5500,500,1.5,6.0,0.0,0.0
VEV_5500,4000,1.0,4.0,0.0,0.0
VEV_5500,4000,1.5,6.0,0.0,0.0
VEV_5500,10000,1.5,6.0,0.0,0.0
VEV_5500,1500,1.5,6.0,0.0,0.0
VEV_5500,25000,1.5,6.0,0.0,0.0
VEV_5500,1500,2.0,8.0,0.0,0.0
VEV_5500,4000,2.0,8.0,0.0,0.0
VEV_5500,500,2.0,8.0,0.0,0.0
VEV_5500,10000,2.0,8.0,0.0,0.0
VEV_5500,25000,2.0,8.0,0.0,0.0
