product,k_taker_only,scale,final_pnl,sharpe
VEV_5200,0.5249999999999999,0.35,71803.0,2.4087823302846174
VEV_5200,0.675,0.45,72200.0,2.4771675928639927
VEV_5200,0.8250000000000001,0.55,74040.0,2.6211020849422892
VEV_5200,1.0499999999999998,0.7,74533.0,2.852812836118816
VEV_5200,1.275,0.85,60329.0,2.5064599586994
VEV_5200,1.5,1.0,52144.0,2.4048041618412452
VEV_5200,1.7249999999999999,1.15,40545.0,2.2757176179012553
