product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5200,10000,0.5,7.5,69835.0,2.4561950844878
VEV_5200,1500,0.5,7.5,69835.0,2.4561950844878
VEV_5200,4000,0.5,7.5,69835.0,2.4561950844878
VEV_5200,500,0.5,7.5,69835.0,2.4561950844878
VEV_5200,25000,0.5,7.5,69835.0,2.4561950844878
VEV_5200,500,0.75,11.25,64155.0,2.650836788644995
VEV_5200,1500,0.75,11.25,64155.0,2.650836788644995
VEV_5200,4000,0.75,11.25,64155.0,2.650836788644995
VEV_5200,10000,0.75,11.25,64155.0,2.650836788644995
VEV_5200,25000,0.75,11.25,64155.0,2.650836788644995
VEV_5200,500,1.0,15.0,41046.0,2.056317253321101
VEV_5200,1500,1.0,15.0,41046.0,2.056317253321101
VEV_5200,4000,1.0,15.0,41046.0,2.056317253321101
VEV_5200,10000,1.0,15.0,41046.0,2.056317253321101
VEV_5200,25000,1.0,15.0,41046.0,2.056317253321101
VEV_5200,500,1.5,22.5,23926.0,1.8474163799807877
VEV_5200,1500,1.5,22.5,23926.0,1.8474163799807877
VEV_5200,4000,1.5,22.5,23926.0,1.8474163799807877
VEV_5200,25000,1.5,22.5,23926.0,1.8474163799807877
VEV_5200,10000,1.5,22.5,23926.0,1.8474163799807877
VEV_5200,500,2.0,30.0,0.0,0.0
VEV_5200,1500,2.0,30.0,0.0,0.0
VEV_5200,10000,2.0,30.0,0.0,0.0
VEV_5200,4000,2.0,30.0,0.0,0.0
VEV_5200,25000,2.0,30.0,0.0,0.0
