product,halflife,threshold_scale,threshold_value,final_pnl,sharpe
VEV_5000,10000,0.5,9.0,65110.0,1.4083992548608277
VEV_5000,500,0.5,9.0,-12606.0,-0.2913449736343553
VEV_5000,1500,0.5,9.0,38615.0,0.853888912309386
VEV_5000,4000,0.5,9.0,53598.0,1.1565503098791292
VEV_5000,25000,0.5,9.0,61926.0,1.3347019005041216
VEV_5000,1500,0.75,13.5,62068.0,1.4829399144441155
VEV_5000,500,0.75,13.5,42871.0,1.1229130732352053
VEV_5000,4000,0.75,13.5,69105.0,1.6009403444394754
VEV_5000,10000,0.75,13.5,85398.0,1.9759607699048116
VEV_5000,500,1.0,18.0,62557.0,1.8924241565806343
VEV_5000,25000,0.75,13.5,74188.0,1.715338887990649
VEV_5000,1500,1.0,18.0,67045.0,1.7756956659880399
VEV_5000,25000,1.0,18.0,83593.0,2.0984737053049933
VEV_5000,4000,1.0,18.0,83991.0,2.0564530927454228
VEV_5000,500,1.5,27.0,27009.0,1.4439648723802896
VEV_5000,10000,1.0,18.0,89708.0,2.2209413563849183
VEV_5000,10000,1.5,27.0,57881.0,1.90647143256192
VEV_5000,1500,1.5,27.0,58381.0,2.1454759897456803
VEV_5000,25000,1.5,27.0,56576.0,1.7989872597996723
VEV_5000,4000,1.5,27.0,57323.0,1.962502568673119
VEV_5000,10000,2.0,36.0,58961.0,2.8353337912705125
VEV_5000,4000,2.0,36.0,54456.0,3.0276748822158708
VEV_5000,500,2.0,36.0,4609.0,0.6423293583742645
VEV_5000,1500,2.0,36.0,37604.0,3.074413788735676
VEV_5000,25000,2.0,36.0,51058.0,2.3806598113950916
